original_air_date,views,imdb_rating,imdb_votes
1995-05-21,86070,9.1,1619
1996-11-03,79609,9.2,2439
1997-01-05,64743,8.5,1383
1997-05-04,74177,9.2,2256
1997-10-26,30963,8.1,1019
1997-11-16,19419,7.7,905
1998-11-15,45779,7.6,901
2000-12-17,56755,8,836
2001-01-07,68784,8,899
2001-04-29,53728,8.6,1095
2002-05-22,53639,8,701
2002-11-03,71817,7.6,752
2011-12-11,69460,8.2,905
2014-11-09,48223,7.9,977
2015-10-18,196,7.5,462
2016-05-08,192,6.7,193
1990-01-21,78072,7.5,1709
1999-12-19,48070,7.3,809
2000-11-05,40990,7.4,803
2000-11-26,44005,7.2,762
2002-03-10,41049,6.5,623
2003-03-30,43756,7.1,555
2004-02-08,42492,7.1,575
2005-03-20,45489,7,530
2005-05-01,41620,7.4,661
2006-03-12,48854,7.4,642
2006-03-26,41323,6.5,854
2006-04-23,42280,6.7,549
2007-10-07,35926,7.2,637
2008-11-16,38879,7.1,599
2009-05-17,6477,7.2,648
2009-10-18,66209,7.3,671
2010-04-11,44645,6.7,482
2010-04-25,40632,6.9,511
2010-11-07,61954,7.1,680
2011-11-27,41687,6.8,493
2013-03-17,44170,7.1,417
2013-05-19,42996,7.2,460
2014-03-30,42080,6.9,430
2015-03-01,34137,6.6,372
2016-04-10,188,6.4,228
2016-05-22,276,6.9,210
2016-09-25,994,6.6,104
2001-02-25,50903,7.2,833
2002-01-20,54348,7,649
2002-05-19,48954,7.1,642
2003-02-16,42885,7.3,628
2003-03-02,42185,7.1,599
2003-11-23,43134,7.1,705
2005-05-15,48303,7.2,635
2005-11-13,39428,6.9,578
2006-04-09,47829,7.2,677
2006-09-17,33495,6.7,671
2007-09-23,36253,6.7,706
2007-10-14,35850,6.9,620
2007-12-16,44862,8.2,949
2009-01-25,38582,5.9,706
2009-03-01,41271,7,603
2009-03-22,45727,6.3,619
2009-03-29,43254,6.8,571
2011-05-22,43681,7,492
2012-02-19,45226,7,580
2012-03-11,44818,7.3,541
2012-11-04,39687,6.9,460
2014-03-09,39292,6.4,473
2014-04-13,55742,7,504
